id,name,slug,type
d7741a3f-a8f7-11ea-9109-01705199481b,Black Lives Matter,Black_Lives_Matter,Issue
eff03a50-029f-11e2-8e7c-005056a8759d,Border Control,Border_Control,Topic
b8687570-1122-11e2-8d8e-005056a8759d,Brands,Brands,Topic
f6abee40-ca76-11e1-beea-005056a8759d,Bras and Brassieres,Bras_and_Brassieres,Topic
c5bff190-064f-11e2-8e7c-005056a8759d,Breastfeeding,Breastfeeding,Topic
bb74738b-a904-11e1-9412-005056900141,British Politics,British_Politics,Topic
bb82081a-a904-11e1-9412-005056900141,British Royal,British_Royal,Title
bb73fe5e-a904-11e1-9412-005056900141,Broadcast Journalism,Broadcast_Journalism,Topic
bb13dd13-a904-11e1-9412-005056900141,Bullying,Bullying,Topic
51995520-b6d8-11e1-ab28-00505690014d,Bus Driving,Bus_Driving,Topic
fa1e3b60-3af5-11e2-bcb0-005056a8759d,Business news,Business_news,Topic
bb73d75e-a904-11e1-9412-005056900141,Business Regulation,Business_Regulation,Topic
93816740-c202-11e1-939f-005056a8759d,The Bible,The_Bible-Topic,Topic
03852c30-42d6-11e2-9aac-005056a8759d,Cameras,Cameras,Topic
c703a150-2606-11e3-b3f1-005056a8759d,Camp Counselor,Camp_Counselor,Topic
9846bf46-c830-11ea-a97d-95af75ea3b67,Campaign Advertisements,Campaign_Advertisements,Issue
8a999560-072d-11e2-8e7c-005056a8759d,Campaign Finance Reform,Campaign_Finance_Reform,Issue
bbdcf95a-a904-11e1-9412-005056900141,Cancer,Cancer,Topic
be6578f1-a904-11e1-9412-005056900141,Cannabis,Cannabis,Topic
064667e0-6c7f-11e2-8fef-005056a8759d,Cannabis Law,Cannabis_Law,Topic
39406420-66f8-11e2-97e1-005056a8759d,Cannabis smoking,Cannabis_smoking,Topic
89877e70-c458-11e1-beea-005056a8759d,Card games,Card_games,Topic
1d829000-c9cd-11e1-beea-005056a8759d,Career counseling,Career_counseling,Topic
ccdbd7d0-5e3a-11e2-812d-005056a8759d,Career development,Career_development,Topic
f9f86510-6701-11e2-97e1-005056a8759d,Careers,Careers,Topic
9f69f020-c581-11e3-89b8-005056a8759d,Caregiving,Caregiving,Topic
ff581800-66ea-11e2-97e1-005056a8759d,Cars,Cars-Topic,Topic
47d3557b-a9ad-11ea-9778-717482b21447,CBS News / YouGov polls,CBS_News_YouGov_polls,Topic
dfea5c70-f83c-11e1-8e7c-005056a8759d,CD collecting,CD_collecting,Topic
bb9f5423-a904-11e1-9412-005056900141,Celebrity Culture,Celebrity_Culture,Topic
533f21d0-3fd0-11e2-bcb0-005056a8759d,Censorship,Censorship,Topic
4ef12470-24f5-11e2-8a8a-005056a8759d,Central Intelligence Agency,Central_Intelligence_Agency,Institution
7100efb0-b929-11e1-8e9d-00505690014d,Charles Schumer,Charles_Schumer,Public Figure
bbcd68fe-a904-11e1-9412-005056900141,Child Care,Child_Care,Topic
5b0e5090-0702-11e2-8e7c-005056a8759d,Childhood,Childhood,Topic
be552770-147f-11e2-8b86-005056a8759d,Children,Children,Topic
bbdc3612-a904-11e1-9412-005056900141,Children's Literature,Childrens_Literature,Topic
